,Time,Tweet
35,2021-03-04 16:00:32+00:00,"Normally we'd see this and go ""HAAAA look at the CDC with a sense of humor"" however, with what has transpired over… https://t.co/Wevnz1ZqfC"
36,2021-03-04 15:11:50+00:00,"What if we do get a zombie apocalypse and instead of World War Z zombies, the zombies will be all the people that died from COVID?"
37,2021-03-04 14:56:45+00:00,"Because dumbasses think a zombie apocalypse is more likely and real than covid. 

I bet masks would help with the z… https://t.co/opE9U1RGCU"
38,2021-03-04 12:35:48+00:00,the last time me and my cousins joked about COVID it got serious and now we are joking about the zombie apocalypse… https://t.co/5Z8A5pHm3j
39,2021-03-04 12:30:58+00:00,"So, we need a hurricane survival kit, a zombie apocalypse kit, a COVID pandemic kit, and civil unrest kit. Spoiler… https://t.co/dW1e7iZpJr"
40,2021-03-04 10:54:54+00:00,"I now understand why the CDC was so clownish in dealing with covid

CDC in 2011 “Preparedness 101: Zombie Apocalyps… https://t.co/TbB8vez1aW"
41,2021-03-04 08:46:07+00:00,"RT @Mr_LonelyArt: @becca_oneal Covid ruined zombies for me. I now know that, in a zombie apocalypse, the U.S Government would ignore it and…"
42,2021-03-04 06:14:39+00:00,"RT @Mr_LonelyArt: @becca_oneal Covid ruined zombies for me. I now know that, in a zombie apocalypse, the U.S Government would ignore it and…"
43,2021-03-04 05:11:49+00:00,I’ve completely redrafted my Zombie apocalypse team based on how my friends and family have reacted to Covid. Some… https://t.co/87yivN1hRL
44,2021-03-04 04:58:38+00:00,Can you imagine if Covid was the disease that started the zombie apocalypse and it just took a year to mature and e… https://t.co/49c4rCShmJ
45,2021-03-04 03:27:37+00:00,WAAII WHAAAA 😭😭😭 FUCC YU MEAN ZOMBIE APOCALYPSE... WES THE GOVERNMENT IMPLYING HERE 😭😭😭 WE FUCCIN DONE 2021... WE G… https://t.co/t4haP2yIAN
46,2021-03-04 02:44:27+00:00,The fact America is better suited to survive a zombie apocalypse and not covid is a little unsettling https://t.co/HQudYqRK3w
47,2021-03-04 00:33:06+00:00,"Yo i semi thought it was a joke , but a man actually went to cross rds tax office today and was preaching how covid… https://t.co/EyZnxB6vs1"
48,2021-03-03 23:19:21+00:00,@CerromeRussell This was written 10 years ago and I’m guessing because a Russian scientist is skeptical of the curr… https://t.co/31wL4Dq26Y
49,2021-03-03 21:14:25+00:00,"You know in the zombie apocalypse movies, when someone decide to stay behind with the grenades, to save the rest?
I… https://t.co/QKFcHqv7HT"
50,2021-03-03 20:40:13+00:00,"RT @Mr_LonelyArt: @becca_oneal Covid ruined zombies for me. I now know that, in a zombie apocalypse, the U.S Government would ignore it and…"
51,2021-03-03 19:10:31+00:00,@Earnie024 I think the govt has something tricky up their sleeves.... we had a zombie apocalypse plan with no zombi… https://t.co/aXMP5MQhem
52,2021-03-03 18:44:03+00:00,"RT @Mr_LonelyArt: @becca_oneal Covid ruined zombies for me. I now know that, in a zombie apocalypse, the U.S Government would ignore it and…"
53,2021-03-03 17:31:32+00:00,"RT @Mr_LonelyArt: @becca_oneal Covid ruined zombies for me. I now know that, in a zombie apocalypse, the U.S Government would ignore it and…"
54,2021-03-03 17:16:26+00:00,"I feel so frustrated watching news about covid and  vaccinations...
Like it is now I am afraid this year go to Hell… https://t.co/YlQw1TC1eT"
55,2021-03-03 17:01:27+00:00,"@becca_oneal Covid ruined zombies for me. I now know that, in a zombie apocalypse, the U.S Government would ignore… https://t.co/gMUSXoB7J3"
56,2021-03-03 16:36:20+00:00,"@DanielleNicki The Office ""Covid Apocalypse"": In an alternate timeline, COVID-19 mutates into a zombie virus, and D… https://t.co/IknmrTZG8y"
57,2021-03-03 06:22:44+00:00,@BBCWillVernon @sarahrainsford The answer is = because Russians think for themselves and the situation we live here… https://t.co/nfzPW5MF9S
58,2021-03-03 02:13:56+00:00,"@digby56 Not a zombie apocalypse, but a covid apocalypse, where maskless Fox republicans, vacantly staring, wander… https://t.co/Z4eaaFqWyD"
59,2021-03-02 22:18:19+00:00,"Thanks to Governor Greg Abbot wanting political points, Texas is going to be a giant petri dish for new Covid strai… https://t.co/oVLXftbAVk"
60,2021-03-02 15:46:22+00:00,This pandemic has made me realize that the people who cry about masks and believe covid is a hoax will be the first… https://t.co/8vHTq1fpmE
61,2021-03-02 15:42:53+00:00,So many people downplayed the virus because they were too dumb to imagine the possibilities. COVID didn't come on l… https://t.co/wK6CiC4X0n
62,2021-03-02 02:39:26+00:00,RT @BearDeuces: @capeybara I'm in the same group.  But we ARE at higher risk of dying if we contact COVID-19.  And we are playing by the ru…
63,2021-03-02 02:35:05+00:00,“Can you imagine going through covid AND going through the zombie apocalypse at the same time?”
64,2021-03-02 02:28:22+00:00,@chriscesq @ShirleySTANson I think one covid year signals the zombie apocalypse to rise and destroy the Earth. 🥴
65,2021-03-02 01:38:43+00:00,@capeybara I'm in the same group.  But we ARE at higher risk of dying if we contact COVID-19.  And we are playing b… https://t.co/87yJoPuKnR
66,2021-03-01 11:11:08+00:00,RT @misterrisk1: @GfromZ @GeorgeMonbiot Because as individuals we think we can survive. Whereas Covid was indiscriminate and had nothing to…
67,2021-03-01 09:03:35+00:00,@GfromZ @GeorgeMonbiot Because as individuals we think we can survive. Whereas Covid was indiscriminate and had not… https://t.co/mRmF2NsYBn
68,2021-02-28 21:24:08+00:00,RT @whichoneispink: “The bonds of neighbourhood and community turned out to be a lot more resilient and enriching than in any promised zomb…
69,2021-02-28 20:20:37+00:00,@UrbaniteAlaska @purrenrage The only way we are going to be able to defeat the Covid zombie apocalypse is by collab… https://t.co/yYa6IgtxlL
70,2021-02-28 17:47:50+00:00,"Fuck it, release Covid-21. Let's have a full blown zombie apocalypse and then we'll see who survives. The boomer bi… https://t.co/Y1EqcE3xr2"
71,2021-02-28 14:56:03+00:00,@Bigdogdigs One good thing about a zombie apocalypse is that it would help reverse the governments' covid death tol… https://t.co/86X36C4WYk
72,2021-02-28 08:55:46+00:00,"And also now looking back at this strange thing called Twitter, it seems like I actually occasionally tweeted thing… https://t.co/oVCCuGIEpf"
73,2021-02-28 03:53:19+00:00,@Kryptokid714 @numbers_truth @hurley9192 @MarinaJFleming7 @realPitBullDog @TelGlobalHealth @sneweyy @jriggers… https://t.co/Ov4dDl1He6
