,Time,Tweet
19,2021-03-28 02:18:23+00:00,I think the argument of the vaccine turning you into a zombie is funny bc you think I want to fight zombies in an a… https://t.co/YbC3X6pBMQ
20,2021-03-27 11:25:41+00:00,I am waiting for the covid vaccine to go wrong and the real zombie apocalypse to start https://t.co/jjvyitOy9X
21,2021-03-27 06:01:08+00:00,"Okay but if the vaccine turns out to be the start of the zombie apocalypse, I’d rather just become a zombie the eas… https://t.co/VMhuWzabTx"
22,2021-03-26 18:50:54+00:00,@Qonthesnap Hurry up and get the vaccine so you can be on my body count when the zombie apocalypse happens 😂😂😂😂
23,2021-03-26 17:12:32+00:00,"The zombie apocalypse the CDC is preparing for?

“VACCINE RAGE” phenomenon may explain global increase in anger, vi… https://t.co/b2gZTMSUV6"
24,2021-03-26 02:23:46+00:00,Y’all know how the lil cdc people released the thing to survive the zombie apocalypse because of that astrologer ni… https://t.co/klYaO8hI4X
25,2021-03-25 14:49:03+00:00,"Got the Pfizer vaccine yesterday, first dose. Little bit of arms soreness but that was it.  Really no other problem… https://t.co/55vQsVp2b3"
26,2021-03-25 14:03:26+00:00,"Covid, mask and vaccine deniers think they can bring down government by not confirming and endangering the rest of… https://t.co/lovwJWZJgy"
27,2021-03-25 02:38:04+00:00,These folks done created a vaccine that’s gon start a zombie apocalypse ... then want to take r guns like imagine p… https://t.co/jk0bbUHIc6
28,2021-03-24 19:49:49+00:00,RT @schare_is: @boooitsnia I wanna talk about how the CDC put out a survival guide for the zombie apocalypse and that conversation barely e…
29,2021-03-24 00:33:04+00:00,"Ps. If you think you need one in case of a zombie apocalypse from the COVID vaccine, you’re a pussy and need to hit… https://t.co/nED3KwS9u5"
30,2021-03-23 20:58:33+00:00,My dad got his first vaccine shot yesterday...tragically he has now become patient zero and started the zombie apoc… https://t.co/r7s53cC0v9
31,2021-03-23 17:14:47+00:00,@LL_CoolJ_ @mcdonamw @jemelehill 😂😂😂😂covid vaccine may turn into the zombie apocalypse 😂😂😂😂 some people collect sho… https://t.co/flIcrcuhW8
32,2021-03-23 14:47:56+00:00,"I just got reminded that the Zombie apocalypse in ‘I am Legend’ was started by a Bad Vaccine😬
And the year? It was… https://t.co/gQdPm77yro"
33,2021-03-23 11:18:20+00:00,"@repkord What about this, the first vaccine changes your DNA and the second vaccine makes you into a zombie! Welcom… https://t.co/70bQdT1NCy"
34,2021-03-22 20:40:46+00:00,@VinceEvans46 @VP The National Guard at the testing and vaccine site in New Mexico was the best part of the whole p… https://t.co/7ebq2kmRZR
35,2021-03-22 18:14:33+00:00,people getting the vaccine and all of a sudden CDC thinks we need tips on surviving a zombie apocalypse 🤧
36,2021-03-22 02:52:51+00:00,"RT @kiyoomimi: 𝐜𝐚𝐠𝐞 𝐨𝐟 𝐞𝐝𝐞𝐧.

—a hinata harem zombie apocalypse au.
[interactive plot]

Hinata's blood is the cure.

There is a high chance…"
37,2021-03-21 16:48:33+00:00,@FernwoodFreddie @newsmax Hmm.  There's another train of thought out there that would label all the scared to the p… https://t.co/6wBH15704g
38,2021-03-21 00:34:00+00:00,RT @JohnHuwEvans2: @fascinatorfun I doubt we'll get an explanation for that. perhaps the Tories have all invested in vaccine companies and…
39,2021-03-20 22:50:41+00:00,@fascinatorfun I doubt we'll get an explanation for that. perhaps the Tories have all invested in vaccine companies… https://t.co/bnYyLpYo2l
40,2021-03-20 14:07:05+00:00,Apparently there’s videos circulating on ‘tic toc’ aimed squarely at teens and younger claiming that anyone taking… https://t.co/yxqboHamSQ
41,2021-03-20 13:46:37+00:00,"*Gets vaccine, walks back to car; partner has locked the doors while shes still sitting inside.

I dont think anyon… https://t.co/yojiKI3Gcr"
42,2021-03-19 14:58:49+00:00,remember how everybody saying them covid vaccines got chips in them... a few weeks ago they was talking bout a zomb… https://t.co/uyR2Cr9JZt
43,2021-03-19 03:42:41+00:00,"So if the vaccine is turning everyone who got it into zombies in 5 years, you’d be an idiot to be the person runnin… https://t.co/z1sPFHxEn7"
44,2021-03-18 17:42:30+00:00,"RT @EveryoneHoused: 1st shot of the Moderna vaccine down, next on April 15th.

While my age group isn't up yet under Virginia rules, they o…"
45,2021-03-18 16:27:52+00:00,"RT @EveryoneHoused: 1st shot of the Moderna vaccine down, next on April 15th.

While my age group isn't up yet under Virginia rules, they o…"
46,2021-03-18 15:32:39+00:00,"1st shot of the Moderna vaccine down, next on April 15th.

While my age group isn't up yet under Virginia rules, th… https://t.co/G2swdz1N0H"
47,2021-03-18 14:41:19+00:00,RT @apnchristian: I had a nightmare last night a zombie apocalypse broke out and no one knew if it was related to COVID and the vaccine bec…
48,2021-03-18 14:30:45+00:00,I had a nightmare last night a zombie apocalypse broke out and no one knew if it was related to COVID and the vacci… https://t.co/tXi8qgpgGm
49,2021-03-18 10:56:50+00:00,Imagine you didn't take the vaccine because you couldn't be bothered but then the conspiracy theorists were right a… https://t.co/ehxSQo8qGl
50,2021-03-17 18:39:15+00:00,"@feuillmort We do a little, I guess. The disease is properly known now and there's a vaccine and all. Shuru ke khu… https://t.co/kqFzBkXrgR"
51,2021-03-17 04:27:50+00:00,"im all for the vaccine but i feel like if prince phillip, and just prince phillip, were to take the vaccine there’d be a zombie apocalypse"
52,2021-03-17 02:51:25+00:00,@Poopster84 They’re like a hybrid really. They made a “vaccine” to cure cancer and it mutated. Which I feel is prob… https://t.co/L3VvYQxRfi
53,2021-03-17 02:13:13+00:00,"I think ""Invasion of the Body Snatchers"" is very applicable about now.....and the soon ""Zombie Apocalypse"" after mi… https://t.co/5scXGYuSCN"
54,2021-03-16 23:02:30+00:00,What if the global elites were planning a zombie apocalypse and they were putting the chemical that makes you undea… https://t.co/t46it5lfOu
55,2021-03-16 18:23:47+00:00,Omfg my mom got her first vaccine shot today and the dipshit taking temps read hers as 92.5 three times in a row. S… https://t.co/SwNZOElWUW
56,2021-03-16 14:23:22+00:00,@AJLoebel The world has moved on dude. 381 million vaccine shots have been given and the zombie apocalypse hasn’t s… https://t.co/g2lBXKWQPS
57,2021-03-16 11:49:40+00:00,Okay now I can be honest.. I got the vaccine bc I want to be a zombie in the apocalypse instead of a survivor. I do… https://t.co/ftOApd8Rwd
58,2021-03-16 10:21:39+00:00,honestly if anti-vaxers are right and the vaccine kicks off the zombie apocalypse then good for them. i'm glad they… https://t.co/53GaCsTUnY
59,2021-03-16 06:03:31+00:00,just a therory since people are predicting that theres gonna be a zombie apocalypse soon but what if the covid vacc… https://t.co/47wm2FsxA3
60,2021-03-15 22:16:20+00:00,I hope I’m the first person to get the vaccine and turn into a zombie. It would be such an honor to kick off the apocalypse. #VaccinesWork
61,2021-03-15 20:53:42+00:00,"RT @LeftHandedLarue: Unlike the zombie apocalypse that occurred from a vaccine in Legend, the zombies already exist and refuse a vaccine th…"
62,2021-03-15 20:46:30+00:00,"RT @LeftHandedLarue: Unlike the zombie apocalypse that occurred from a vaccine in Legend, the zombies already exist and refuse a vaccine th…"
63,2021-03-15 20:19:21+00:00,"RT @LeftHandedLarue: Unlike the zombie apocalypse that occurred from a vaccine in Legend, the zombies already exist and refuse a vaccine th…"
64,2021-03-15 20:15:12+00:00,"Unlike the zombie apocalypse that occurred from a vaccine in Legend, the zombies already exist and refuse a vaccine… https://t.co/m4XzO7qF1X"
65,2021-03-15 18:18:16+00:00,"@jsolomonReports BS, Trump supporters are critical thinkers and we know better than to trust a vaccine that comes f… https://t.co/yVbF0f4y6F"
66,2021-03-15 17:06:34+00:00,European countries are rejecting the AstraZeneca vaccine and Nigeria still dey run am 😂😂... zombie apocalypse go wi… https://t.co/n1d6gBoAgj
67,2021-03-15 16:15:01+00:00,@cornishskeptic @timesuppeeps And their objective is to kill the sheep who took the vaccine and after the sheep are… https://t.co/2BiZjPCslL
